
Adaptive,R101,1,66
Adaptive,R101,2,71
Adaptive,R101,3,72
Adaptive,R101,4,71
Adaptive,R101,5,70
Adaptive,R101,6,65
Adaptive,R101,7,62
Adaptive,R101,8,65
Adaptive,R101,9,71
Adaptive,R101,10,68
Adaptive,C101,1,62
Adaptive,C101,2,64
Adaptive,C101,3,61
Adaptive,C101,4,61
Adaptive,C101,5,66
Adaptive,C101,6,64
Adaptive,C101,7,71
Adaptive,C101,8,65
Adaptive,C101,9,58
Adaptive,C101,10,60
Adaptive,C201,1,57
Adaptive,C201,2,55
Adaptive,C201,3,65
Adaptive,C201,4,61
Adaptive,C201,5,64
Adaptive,C201,6,63
Adaptive,C201,7,56
Adaptive,C201,8,62
Adaptive,C201,9,60
Adaptive,C201,10,58
Adaptive,RC101,1,56
Adaptive,RC101,2,59
Adaptive,RC101,3,58
Adaptive,RC101,4,58
Adaptive,RC101,5,55
Adaptive,RC101,6,59
Adaptive,RC101,7,57
Adaptive,RC101,8,58
Adaptive,RC101,9,63
Adaptive,RC101,10,58
Greedy,R101,1,64
Greedy,R101,2,69
Greedy,R101,3,70
Greedy,R101,4,70
Greedy,R101,5,70
Greedy,R101,6,65
Greedy,R101,7,62
Greedy,R101,8,65
Greedy,R101,9,70
Greedy,R101,10,65
Greedy,C101,1,60
Greedy,C101,2,54
Greedy,C101,3,48
Greedy,C101,4,54
Greedy,C101,5,55
Greedy,C101,6,59
Greedy,C101,7,55
Greedy,C101,8,53
Greedy,C101,9,53
Greedy,C101,10,60
Greedy,C201,1,56
Greedy,C201,2,54
Greedy,C201,3,54
Greedy,C201,4,55
Greedy,C201,5,64
Greedy,C201,6,63
Greedy,C201,7,50
Greedy,C201,8,51
Greedy,C201,9,50
Greedy,C201,10,52
Greedy,RC101,1,51
Greedy,RC101,2,56
Greedy,RC101,3,57
Greedy,RC101,4,52
Greedy,RC101,5,51
Greedy,RC101,6,56
Greedy,RC101,7,54
Greedy,RC101,8,56
Greedy,RC101,9,59
Greedy,RC101,10,54
