Distribution  | Instance | Zeta | Objective | Total tour time | Average decision time (s) | Maximum decision time (s)
C101         | 3         | 1.00            | 61             | 504          | 0.232               | 0.538        
C101         | 4         | 1.00            | 63             | 504          | 0.222               | 0.387        
C101         | 5         | 1.00            | 60             | 505          | 0.222               | 0.616        
C101         | 6         | 1.00            | 67             | 498          | 0.263               | 0.757        
C101         | 7         | 1.00            | 58             | 504          | 0.216               | 0.433        
C101         | 8         | 1.00            | 60             | 505          | 0.216               | 0.466        
C101         | 9         | 1.00            | 55             | 503          | 0.220               | 0.417        
C101         | 10         | 1.00            | 58             | 504          | 0.211               | 0.366        
C101         | 1         | 1.25            | 76             | 631          | 0.292               | 0.752        
C101         | 2         | 1.25            | 75             | 626          | 0.305               | 0.572        
C101         | 3         | 1.25            | 74             | 631          | 0.260               | 0.557        
C101         | 4         | 1.25            | 75             | 631          | 0.359               | 1.268        
C101         | 5         | 1.25            | 78             | 629          | 0.298               | 0.634        
C101         | 6         | 1.25            | 77             | 630          | 0.316               | 0.927        
C101         | 7         | 1.25            | 78             | 631          | 0.299               | 0.750        
C101         | 8         | 1.25            | 77             | 631          | 0.282               | 0.780        
C101         | 9         | 1.25            | 73             | 631          | 0.266               | 0.559        
C101         | 10         | 1.25            | 79             | 630          | 0.277               | 0.490        
C101         | 1         | 1.50            | 91             | 755          | 0.423               | 1.847        
C101         | 2         | 1.50            | 92             | 757          | 0.388               | 0.849        
C101         | 3         | 1.50            | 83             | 757          | 0.268               | 0.483        
C101         | 4         | 1.50            | 83             | 758          | 0.316               | 0.700        
C101         | 5         | 1.50            | 91             | 757          | 0.430               | 1.561        
C101         | 6         | 1.50            | 91             | 753          | 0.317               | 0.615        
C101         | 7         | 1.50            | 90             | 757          | 0.526               | 1.251        
C101         | 8         | 1.50            | 89             | 757          | 0.288               | 0.419        
C101         | 9         | 1.50            | 91             | 757          | 0.290               | 0.642        
C101         | 10         | 1.50            | 87             | 757          | 0.277               | 0.461        
C201         | 1         | 1.00            | 58             | 529          | 0.344               | 1.283        
C201         | 2         | 1.00            | 64             | 529          | 0.289               | 1.192        
C201         | 3         | 1.00            | 65             | 528          | 0.213               | 0.358        
C201         | 4         | 1.00            | 63             | 529          | 0.222               | 0.366        
C201         | 5         | 1.00            | 58             | 526          | 0.199               | 0.312        
C201         | 6         | 1.00            | 60             | 527          | 0.236               | 0.425        
C201         | 7         | 1.00            | 58             | 529          | 0.196               | 0.293        
C201         | 8         | 1.00            | 57             | 527          | 0.253               | 0.533        
C201         | 9         | 1.00            | 58             | 528          | 0.231               | 0.372        
C201         | 10         | 1.00            | 62             | 529          | 0.301               | 0.929        
C201         | 1         | 1.25            | 71             | 660          | 0.280               | 0.442        
C201         | 2         | 1.25            | 70             | 661          | 0.235               | 0.388        
C201         | 3         | 1.25            | 67             | 661          | 0.246               | 0.420        
C201         | 4         | 1.25            | 77             | 661          | 0.268               | 0.492        
C201         | 5         | 1.25            | 74             | 661          | 0.255               | 0.502        
C201         | 6         | 1.25            | 75             | 659          | 0.294               | 1.019        
C201         | 7         | 1.25            | 75             | 661          | 0.290               | 0.685        
C201         | 8         | 1.25            | 72             | 661          | 0.364               | 0.889        
C201         | 9         | 1.25            | 76             | 660          | 0.255               | 0.565        
